Bid Item Category,Bid Item Num,Bid Item Number,Bid Item Description,Quantity,UOM,
201,00000,201-00000,Clearing and Grubbing,10,L S,!B2
201,00001,201-00001,Clearing and Grubbing,0,ACRE,!B3
201,00002,201-00002,Clearing,0,L S,!B4
201,00005,201-00005,Removal of Debris,0,L S,!B5
201,00010,201-00010,Clearing,0,LS,!B6
201,00816,201-00816,Reset Sign Panel (Special),0,EACH,!B7
202,00000,202-00000,Removal of Structures and Obstructions,0,L S,!B8
202,00001,202-00001,Removal of Structure,0,EACH,!B9
202,00002,202-00002,Removal of Structure (Special),0,EACH,!B10
202,00003,202-00003,Removal of Structure (Special),0,L S,!B11
202,00004,202-00004,Removal of Steel H or Pipe Piling,0,LF,!B12
202,00005,202-00005,Removal of Temporary Supports,0,L S,!B13
202,00006,202-00006,Removal of Temporary Supports,0,EACH,!B14
202,00008,202-00008,Tree Trimming,0,HOUR,!B15
202,00009,202-00009,Tree Trimming,0,L S,!B16
202,00010,202-00010,Removal of Tree,0,EACH,!B17
202,00011,202-00011,Tree Trimming,0,EACH,!B18
202,00012,202-00012,Removal of Tree Stump,0,EACH,!B19
202,00013,202-00013,Removal of Erosion Mat,0,SY,!B20
202,00014,202-00014,Brush Clearing,0,HOUR,!B21
202,00015,202-00015,Removal of Headwall,0,EACH,!B22
202,00016,202-00016,Removal of Tree Support,0,EACH,!B23
202,00019,202-00019,Removal of Inlet,5,EACH,!B24
202,00020,202-00020,Removal of Concrete Box Culvert,0,EACH,!B25
202,00021,202-00021,Removal of Manhole,0,EACH,!B26
202,00022,202-00022,Removal of Headgate,0,EACH,!B27
202,00023,202-00023,Removal of Embankment Protector Type 3,0,EACH,!B28
202,00024,202-00024,Removal of Embankment Protector Type 5,0,EACH,!B29
202,00025,202-00025,Removal of Ditch Lining,0,LF,!B30
202,00026,202-00026,Removal of Slope and Ditch Paving,0,SY,!B31
202,00027,202-00027,Removal of Riprap,0,SY,!B32
202,00029,202-00029,Removal of Gabion,0,CY,!B33
202,00030,202-00030,Removal of Water Service,0,EACH,!B34
202,00031,202-00031,Removal of Fire Hydrant,0,EACH,!B35
202,00032,202-00032,Removal of Valve,0,EACH,!B36
202,00033,202-00033,Removal of Pipe,0,EACH,!B37
202,00035,202-00035,Removal of Pipe,0,LF,!B38
202,00036,202-00036,Removal of Pipe (Special),0,LF,!B39
202,00037,202-00037,Removal of End Section,0,EACH,!B40
202,00038,202-00038,Removal of Structural Plate Pipe,0,LF,!B41
202,00039,202-00039,Removal of Bollard,0,EACH,!B42
202,00040,202-00040,Removal of Electrical Conduit,0,LF,!B43
202,00045,202-00045,Removal of Electrical Equipment,0,LF,!B44
202,00047,202-00047,Removal of Electrical Equipment,0,L S,!B45
202,00050,202-00050,Removal of ITS Node Equipment,0,L S,!B46
202,00055,202-00055,Removal of Fiber Optic Cable,0,LF,!B47
202,00060,202-00060,Removal of Travel Time Indicator,0,EACH,!B48
202,00070,202-00070,Removal of Barricade,0,EACH,!B49
202,00080,202-00080,Removal of Guard Post,0,EACH,!B50
202,00090,202-00090,Removal of Delineator,0,EACH,!B51
202,00100,202-00100,Removal of Dome Channelizing Device,0,EACH,!B52
202,00150,202-00150,Removal of Wall,0,EACH,!B53
202,00155,202-00155,Removal of Wall,0,LF,!B54
202,00160,202-00160,Removal of Wall,0,SF,!B55
202,00165,202-00165,Removal of Wall,0,L S,!B56
202,00170,202-00170,Grinding And Texturing Concrete Pavement,0,SY,!B57
202,00175,202-00175,Removal of Concrete,0,L S,!B58
202,00190,202-00190,Removal of Concrete Median Cover Material,4227,SY,!B59
202,00195,202-00195,Removal of Median Cover,2542,SY,!B60
202,00200,202-00200,Removal of Sidewalk,293,SY,!B61
202,00201,202-00201,Removal of Curb,0,LF,!B62
202,00202,202-00202,Removal of Gutter,0,LF,!B63
202,00203,202-00203,Removal of Curb and Gutter,25000,LF,!B64
202,00204,202-00204,"Removal of Curb, Gutter and Sidewalk",0,LF,!B65
202,00205,202-00205,Removal of Wheel Stop,0,EACH,!B66
202,00206,202-00206,Removal of Concrete Curb Ramp,718,SY,!B67
202,00207,202-00207,Removal of Brick Pavers,0,SY,!B68
202,00210,202-00210,Removal of Concrete Pavement,563,SY,!B69
202,00212,202-00212,Removal of Concrete Pavement (Special),0,SY,!B70
202,00215,202-00215,Removal of Concrete Pavement (Planing),0,SY,!B71
202,00217,202-00217,Remove Concrete Pavement (Planing) (Special),0,SY,!B72
202,00220,202-00220,Removal of Asphalt Mat,335,SY,!B73
202,00226,202-00226,Removal of Asphalt Mat (Special),0,SY,!B74
202,00240,202-00240,Removal of Asphalt Mat (Planing),146127,SY,!B75
202,00241,202-00241,Removal of Asphalt Mat (Planing)(Special),0,CY,!B76
202,00245,202-00245,Removal of Asphalt Mat (Planing),0,TON,!B77
202,00246,202-00246,Removal of Asphalt Mat (Planing) (Special),0,SY,!B78
202,00247,202-00247,Removal of Asphalt Mat (Planing),0,L S,!B79
202,00248,202-00248,Removal of Rumble Strips,0,LF,!B80
202,00250,202-00250,Removal of Pavement Marking,9500,SF,!B81
202,00251,202-00251,Removal of Pavement Marking (Asphalt Grooving),0,SF,!B82
202,00252,202-00252,Removal of Pavement Marking (Concrete Grooving),0,SF,!B83
202,00254,202-00254,Removal of Pavement Marking (12 Inch),0,SF,!B84
202,00256,202-00256,Removal of Pavement Marking (15 Inch),0,SF,!B85
202,00260,202-00260,Removal of Pavement Marking (On-Call),0,SF,!B86
202,00300,202-00300,Removal of Building(s),0,L S,!B87
202,00400,202-00400,Removal of Bridge,0,EACH,!B88
202,00401,202-00401,Removal of Bridge (Special),0,EACH,!B89
202,00405,202-00405,Removal of Piling,0,EACH,!B90
202,00410,202-00410,Removal of Mat From Bridge,0,SY,!B91
202,00420,202-00420,Removal of Pedestrian Rail,0,LF,!B92
202,00425,202-00425,Removal of Bridge Railing,0,LF,!B93
202,00426,202-00426,Removal of Bridge Railing (Special),0,LF,!B94
202,00440,202-00440,Removal of Existing Tunnel Liner,0,LF,!B95
202,00450,202-00450,Removal of Portions of Present Structure (Class 1),0,SY,!B96
202,00453,202-00453,Removal of Portions of Present Structure (Class 2),0,SY,!B97
202,00454,202-00454,Removal of Portions of Present Structure (Class 2A),0,SY,!B98
202,00456,202-00456,Removal of Portions of Present Structure (Class 2B),0,SY,!B99
202,00457,202-00457,Removal of Portions of Present Structure (Class 2) (Hydrodem,0,SY,!B100
202,00460,202-00460,Removal of Portions of Present Structure (Class 3),0,SY,!B101
202,00462,202-00462,Removal of Portions of Present Structure (Class 3A),0,SY,!B102
202,00466,202-00466,Removal of Portions of Present Structure (Class 4),0,SY,!B103
202,00480,202-00480,Removal of Portions of Present Structure (Special),0,SY,!B104
202,00495,202-00495,Removal of Portions of Present Structure,0,L S,!B105
202,00500,202-00500,Removal of Portions of Present Structure,0,EACH,!B106
202,00502,202-00502,Removal of Portions of Present Structure,0,CY,!B107
202,00503,202-00503,Removal of Portions of Present Structure,0,SY,!B108
202,00504,202-00504,Removal of Expansion Device,0,LF,!B109
202,00510,202-00510,Removal of Roadway Contraction Joint,0,LF,!B110
202,00520,202-00520,Removal of Expansion Joint Material,0,LF,!B111
202,00600,202-00600,Removal of Railroad Appurtenances,0,L S,!B112
202,00610,202-00610,Removal of Railroad Track,0,LF,!B113
202,00620,202-00620,Removal of Railroad Crossover,0,EACH,!B114
202,00621,202-00621,Removal of Railroad Turnout,0,EACH,!B115
202,00700,202-00700,Removal of Light Standard,0,EACH,!B116
202,00705,202-00705,Removal of Light Standard Foundation,0,EACH,!B117
202,00710,202-00710,Removal of Power Pole,0,EACH,!B118
202,00715,202-00715,Removal of Closed Circuit Television Pole,0,EACH,!B119
202,00720,202-00720,Removal of Closed Circuit Camera,0,EACH,!B120
202,00725,202-00725,Removal of Existing Lighting System,0,L S,!B121
202,00750,202-00750,Removal of Luminaire,0,EACH,!B122
202,00800,202-00800,Removal of Overpass Mounted Sign Bracket,0,EACH,!B123
202,00805,202-00805,Removal of Overhead Sign Structure,0,EACH,!B124
202,00806,202-00806,Removal of Walkway,0,LF,!B125
202,00810,202-00810,Removal of Ground Sign,50,EACH,!B126
202,00815,202-00815,Removal of Sign (Special),0,EACH,!B127
202,00818,202-00818,Removal of Steel Sign Ground Stub base (36 Inch),0,EACH,!B128
202,00821,202-00821,Removal of Sign Panel,0,EACH,!B129
202,00823,202-00823,Removal of Dynamic Message Sign,0,EACH,!B130
202,00825,202-00825,Removal of Flashing Beacon,0,EACH,!B131
202,00827,202-00827,Removal of Pull Box,0,EACH,!B132
202,00828,202-00828,Removal of Traffic Signal Equipment,1,L S,!B133
202,00830,202-00830,Removal of Traffic Signal Face,0,EACH,!B134
202,00831,202-00831,Removal of Traffic Signal Head,0,EACH,!B135
202,00832,202-00832,Removal of Sign Panel (Special),0,EACH,!B136
202,00840,202-00840,Removal of Traffic Signal Pole,0,EACH,!B137
202,00842,202-00842,Removal of Mast Arm,0,EACH,!B138
202,00845,202-00845,Removal of Traffic Signal Controller,0,EACH,!B139
202,00848,202-00848,Removal of Traffic Signal Controller and Cabinet,0,EACH,!B140
202,00855,202-00855,Removal of Traffic Signal Controller Cabinet,0,EACH,!B141
202,00858,202-00858,Removal of Pedestal Pole,0,EACH,!B142
